"unif","normal","gamma","discrete"
-0.425441648863323,-2.2864635420597,0.276733606435005,"X"
0.866326313119496,0.20715274559874,1.3496123128963,"M"
0.313183217021343,-0.968977844137569,0.48628685848706,"Q"
1.35607575114131,1.64906045263915,1.53451131987395,"V"
1.33992742435641,0.830744410461608,1.65162513468556,"L"
-0.182222184152075,-1.58088310004752,4.44513238481298,"O"
-0.17060723457071,-1.45478525662602,1.03421697296519,"U"
1.40561653260506,0.789382620576125,0.960316128121512,"U"
1.87441806105112,-3.86402743127811,1.24405731219283,"U"
1.62779790422628,-0.476455441828357,1.70218084813756,"W"
0.0734518098736,0.987919033514017,1.7208322239186,"H"
0.502985376570376,1.22505358707973,0.428621196198644,"W"
1.05038880551641,-3.53188223029246,0.756981846841611,"H"
1.1381060809487,0.929986192168646,2.46830781200863,"F"
0.110752264371185,-0.49682245297477,0.518563792135517,"U"
0.683588558196875,-1.00111604871215,0.838309970236485,"V"
0.509249495923429,-0.066362088529947,0.845194792425577,"Y"
-0.958694651227953,0.108180117355286,1.57339242546365,"E"
1.31847986483712,-2.82035832984386,0.769873586072625,"V"
1.64792357190835,1.48173728819408,0.478475980171561,"D"
0.0946579517041168,-1.4839540162084,2.28219777873316,"J"
0.846188535300481,-0.803969486943773,0.623925935648873,"R"
-0.77385627507107,0.330158366435113,0.0458009056135391,"N"
0.106472018005924,-0.209867935294463,0.131461265426716,"M"
1.79942030594756,-1.20395792705885,1.37602073630895,"Q"
0.954134429679732,1.4772273312702,0.482311655198213,"I"
0.191607733178463,-3.2255408398853,2.91740632811034,"S"
1.36619042882224,0.513331127683571,1.39425712509269,"U"
-0.0494916334933863,1.08845378135673,2.09348307508533,"J"
0.704295957878208,-0.774662810268498,0.988496854808503,"V"
1.60738216868368,0.0061564804209589,0.510014294527728,"O"
0.308520271687038,-1.09676034229999,0.256993654298329,"T"
1.40644292624048,1.0689073834415,1.25513097607191,"N"
-0.568699526456306,1.07136785933908,1.01062360700529,"L"
1.11278291335501,-0.683137362271511,0.566265472647,"R"
1.11374392456872,0.795575937527258,0.978678592994938,"R"
-0.343623682977734,-0.984192208412444,0.145014170292392,"U"
1.7746028858467,-0.312930569347676,0.529375372052252,"H"
0.32642226621253,3.08644077319455,0.124391407290096,"V"
1.72794787691742,0.762512069494213,0.909147899555934,"G"
-0.820572331660444,-1.34966889569744,1.14784751989507,"J"
-0.447138748558559,-0.385700618244145,1.4813321993762,"T"
-0.857934163595455,-3.61246640103504,1.35262639682421,"Q"
1.02464283074699,-0.445787094973891,1.32324606680207,"X"
